date,price,log_returns,volatility
2023-02-10,21639.8,-0.007008718175707399,0.0321103982456288
2023-02-11,21868.2,0.010499314983329679,0.032474313858114265
2023-02-12,21786.0,-0.003765965114470348,0.0272468406257422
2023-02-13,21791.2,2.3865691346310806E-4,0.024346895863304584
2023-02-14,22213.1,0.019175986359910493,0.024918028951472247
2023-02-15,24334.5,0.09121289160279894,0.043068698361868794
2023-02-16,23521.5,-0.03398020002936743,0.042580797079413354
2023-02-17,24572.3,0.0437048957384875,0.04207893086984126
2023-02-18,24643.7,0.002901497484199609,0.03969924128049121
2023-02-19,24287.2,-0.014571827135413285,0.03822237779504976
2023-02-20,24839.8,0.022497742908740875,0.03330911685890777
2023-02-21,24442.1,-0.01614015017741153,0.033935394324098936
2023-02-22,24186.6,-0.010508294530270378,0.0345561830718777
2023-02-23,23942.4,-0.010147815063756326,0.03484725607610899
2023-02-24,23193.8,-0.03176594415402201,0.036889607990113184
2023-02-25,23167.3,-0.0011431999191599987,0.036653701961172826
2023-02-26,23564.5,0.01699954058422369,0.02339008955300658
2023-02-27,23494.4,-0.002979247362353425,0.021021540449403228
2023-02-28,23133.2,-0.015493279741045227,0.015549866497819876
2023-03-01,23634.9,0.021455618083643126,0.017441917891712178
2023-03-02,23466.5,-0.007150561024982745,0.01712421653583301
2023-03-03,22356.1,-0.0484746577283851,0.019683826582301205
2023-03-04,22348.5,-3.4000975618685885E-4,0.01973343668974115
2023-03-05,22426.9,0.0035019265097106927,0.020015460672224396
2023-03-06,22409.4,-7.806175303785275E-4,0.020061134745685456
2023-03-07,22196.9,-0.009527874204626634,0.018244958109581808
2023-03-08,21699.1,-0.02268185445613334,0.019046590913660115
2023-03-09,20363.6,-0.06352179169114948,0.02413674055594394
2023-03-10,20224.7,-0.0068443636335633095,0.023999662188655645
2023-03-11,20616.4,0.019182245860512377,0.025929218735137455
2023-03-12,22157.5,0.07208916406267786,0.035052896477213234
2023-03-13,24208.3,0.08851950993628503,0.04512466078966349
2023-03-14,24753.4,0.0222673037504644,0.04201565219747981
2023-03-15,24372.6,-0.015503302819371564,0.04260671190427369
2023-03-16,25053.7,0.02756197071664928,0.042975360915083076
2023-03-17,27447.7,0.09126085452388713,0.04916609382579537
2023-03-18,26964.6,-0.01775748110329692,0.049693952809058625
2023-03-19,28049.9,0.03946017226492836,0.04815400950024243
2023-03-20,27773.0,-0.009920741167631284,0.04060597810269891
2023-03-21,28154.1,0.013628666560293882,0.03928630488479231
2023-03-22,27300.0,-0.03080629010171064,0.0433526416668918
2023-03-23,28321.4,0.03673100044098276,0.04079016247699732
2023-03-24,27491.0,-0.02975902425205034,0.03700640145878705
2023-03-25,27490.5,-1.8187935942580796E-5,0.036971622729993
2023-03-26,28000.0,0.01836401973129992,0.03607744014066905
2023-03-27,27134.5,-0.03139852921618926,0.03796491788232002
2023-03-28,27267.6,0.004893203224600569,0.025852460591168108
2023-03-29,28358.2,0.03921704579042689,0.027711444104804285
2023-03-30,28034.0,-0.011498170733176251,0.025465975526361186
2023-03-31,28466.8,0.015320436715328782,0.02562447308578091
2023-04-01,28462.8,-1.4052443743089684E-4,0.025347487870848277
2023-04-02,28185.0,-0.009808049985225558,0.02343161081625888
2023-04-03,27800.7,-0.013728721297839109,0.020954569770211463
2023-04-04,28175.5,0.013391605761604653,0.01913371688948602
2023-04-05,28179.1,1.2776241885837495E-4,0.019132048075686536
2023-04-06,28040.0,-0.004948506249772832,0.018447386603198376
2023-04-07,27922.9,-0.004184921471302553,0.01536332560054422
2023-04-08,27956.0,0.0011847049197957749,0.015348744241896122
2023-04-09,28333.7,0.013420063300058542,0.010268424963953976
2023-04-10,29655.0,0.04557883637574883,0.016469472575629168
2023-04-11,30227.6,0.019124669015905205,0.01674298565961998
2023-04-12,29895.2,-0.01105748191415236,0.017417855689204648
2023-04-13,30405.9,0.01693873613621926,0.017090139658008936
2023-04-14,30493.2,0.0028670394078030483,0.015768867855676702
2023-04-15,30315.9,-0.005831380580326984,0.016219567038848984
2023-04-16,30316.0,3.2985936446227533E-6,0.0162246194739851
2023-04-17,29449.2,-0.029008880907061992,0.019278343907682207
2023-04-18,30388.8,0.031407374433114,0.020622732386508486
2023-04-19,28814.0,-0.05321273933655347,0.027660719428113278
2023-04-20,28241.5,-0.02006885277754374,0.0282062474368327
2023-04-21,27264.3,-0.03521437325424388,0.025450448864857946
2023-04-22,27818.8,0.020133897021828887,0.025558178804945837
2023-04-23,27589.7,-0.008269536464137766,0.02553372353140035
2023-04-24,27518.6,-0.00258037498709385,0.02433103193712601
2023-04-25,28300.9,0.028031466585565885,0.026639199968060658
2023-04-26,28424.9,0.004371915336851527,0.02685242379001444
2023-04-27,29472.4,0.03618871058441246,0.029706661776160097
2023-04-28,29323.9,-0.0050513490053603755,0.02842465478856891
2023-04-29,29240.6,-0.002844728672670426,0.026397102695829018
2023-04-30,29243.1,8.549390690137246E-5,0.0206191142520929
2023-05-01,28074.1,-0.04079620529332571,0.023515318811364296
2023-05-02,28677.1,0.021251451738299166,0.021242542250452086
2023-05-03,29033.3,0.012344552225297697,0.020797846249638322
2023-05-04,28852.7,-0.006239870987329101,0.02068794617228993
2023-05-05,29530.2,0.023209892409613554,0.021311015919768382
2023-05-06,28901.7,-0.021513051588584627,0.02151981514389874
2023-05-07,28468.0,-0.015119767480737607,0.022091687099054468
2023-05-08,27693.2,-0.0275937537453081,0.01994981929456073
2023-05-09,27635.0,-0.0021038104064903087,0.01997859615259423
2023-05-10,27617.8,-6.225929022816357E-4,0.02001813164813878
